Product Name,Product Price
Mineral Magic 1kg,£8.95
BioFiltre complete with BioMagix 10g and Stars,£51.20
Aeroponics Starter Kit Amazon 16 Plant,£467.40
Aeroponics Starter Kit Amazon 32 Plant,£495.10
Aeroponics Starter Kit Amazon 8 Plant,£495.10
Air-Pot Easy Grow Kit Coco 4 Plant,£334.30
Air-Pot Easy Grow Kit Soil 4 Plant,£317.00
Air-Pot RTA Dripper System 2 Pot XL 38ltr,£392.90
Atami Wilma System 4 Pot,£69.95
Atami Wilma System 8 Pot,£129.95
RVK Sileo 100E2 184m3/hr,£64.95
RVK Sileo 125E2 220m3/hr,£69.95
RVK Sileo 125E2-L 323m3/hr,£74.95
RVK Sileo 150E2 428m3/hr,£79.95
16 Way Contactor Timer Board (+2 aux),£149.95
16ltr Easyfeed Module Complete,£28.95
22ltr Easyfeed Module Complete,£33.95
Aptus Regulator 100ml,£27.85
Mineral Magic 1kg,£8.95
BioFiltre complete with BioMagix 10g and Stars,£51.20
Aeroponics Starter Kit Amazon 16 Plant,£467.40
Aeroponics Starter Kit Amazon 32 Plant,£495.10
Aeroponics Starter Kit Amazon 8 Plant,£495.10
Air-Pot Easy Grow Kit Coco 4 Plant,£334.30
Air-Pot Easy Grow Kit Soil 4 Plant,£317.00
Air-Pot RTA Dripper System 2 Pot XL 38ltr,£392.90
Atami Wilma System 4 Pot,£69.95
Atami Wilma System 8 Pot,£129.95
RVK Sileo 100E2 184m3/hr,£64.95
RVK Sileo 125E2 220m3/hr,£69.95
RVK Sileo 125E2-L 323m3/hr,£74.95
RVK Sileo 150E2 428m3/hr,£79.95
16 Way Contactor Timer Board (+2 aux),£149.95
16ltr Easyfeed Module Complete,£28.95
22ltr Easyfeed Module Complete,£33.95
Aptus Regulator 100ml,£27.85
Mineral Magic 1kg,£8.95
BioFiltre complete with BioMagix 10g and Stars,£51.20
Aeroponics Starter Kit Amazon 16 Plant,£467.40
Aeroponics Starter Kit Amazon 32 Plant,£495.10
